"Site.Name","Escape.ID","Operator.at.Time.of.Escape","Escape.Water.Type","Escape.Start.Date","Escape.Start.Time","Escape.End.Time","Escape.Grid.Reference","Escaped.Species","Stage","Age","Average.Weight.Kg.","Initial.Date.of.Escape","Initial.Number.Escaped","Initial.Escape.Reason","Final.Date.of.Escape","Final.Number.Escaped","Final.Number.Recovered","Final.Escape.Reason","Marine.Scotland.Site.ID","Date.Registered","National.Grid.Reference","Local.Authority","Producing.in.Last.3.Years","Site.Address.1","Site.Address.2","Site.Address.3","Site.Post.Code","Site.Contact.Number","Aquaculture.Type","Water.Type","Health.Surveillance","Easting","Northing","MS.Management.Area","Region","Operator","Species","year","month","c2","c3","c4","c5","c6","c7"
"fiunary",2000502,"scottish sea farms ltd","s","9-Oct-19",NA,"9-Dec-19","nm592476","atlantic salmon","grower fish (salmon only)",23,1.25,"22-Nov-19","0","predator - prd","22-Nov-19",0,0,"predator","fs0696","19-Sep-91","nm592476","highland","yes","south shian","connel","oban, argyll","pa37 1sb","07760 242723","fish","seawater","high",159200,747600,"15b - linnhe, firth of lorne, sound of mull and loch sunart","highland","scottish sea farms ltd","lumpsucker, wrasse, atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"geasgill",2000436,"the scottish salmon company","s","14-Oct-15","12:30","14-Oct-15","12:30","atlantic salmon","grower fish (salmon only)",13,3,"15-Oct-15","1","human error - hum","15-Oct-15",1,0,"human error","fs0839","1-Aug-94","nm435377","argyll and bute","yes","ulva ferry","isle of mull","argyll","pa73 6ly","01546 602172","fish","seawater","medium",143500,737700,"16a - tuath, na keal","strathclyde","the scottish salmon company","wrasse, atlantic salmon, lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA
"geasgill",2000456,"the scottish salmon company","s","15-Aug-17",NA,NA,"nm435377","atlantic salmon","grower fish (salmon only)",12,2.8,"21-Aug-17","unknown","unknown - unk","11-Sep-17",11040,0,"human error","fs0839","1-Aug-94","nm435377","argyll and bute","yes","ulva ferry","isle of mull","argyll","pa73 6ly","01546 602172","fish","seawater","medium",143500,737700,"16a - tuath, na keal","strathclyde","the scottish salmon company","wrasse, lumpsucker, atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"geasgill",2000505,"the scottish salmon company","s","14-Jan-20","13:00","14-Jan-20","nm445398","atlantic salmon","grower fish (salmon only)",16,3,"15-Jan-20","tbc","weather - wth","20-Feb-20",0,0,"weather","fs0839","1-Aug-94","nm435377","argyll and bute","yes","ulva ferry","isle of mull","argyll","pa73 6ly","01546 602172","fish","seawater","medium",143500,737700,"16a - tuath, na keal","strathclyde","the scottish salmon company","wrasse, atlantic salmon, lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA
"geasgill",2000251,"lighthouse caledonia ltd","s","23-Sep-09",NA,"23-Sep-09",NA,"atlantic salmon","grower fish (salmon only)",29,3.4,"24-Sep-09","unknown","no actual escape of fish - nes","29-Sep-09",0,0,"no actual escape of fish","fs0839","1-Aug-94","nm435377","argyll and bute","yes","ulva ferry","isle of mull","argyll","pa73 6ly","01546 602172","fish","seawater","medium",143500,737700,"16a - tuath, na keal","strathclyde","the scottish salmon company","lumpsucker, atlantic salmon, wrasse",NA,NA,NA,NA,NA,NA,NA,NA
"ghlas mhor",2000117,"finfish ltd","s","7-Aug-02","12:00",NA,"nc063162","atlantic salmon","grower fish (salmon only)",16,2.6,"8-Aug-02","200","hole in net - hol","3-Sep-02",36,2,"hole in net","fs0883","1-Oct-96","nc063162","highland","no","n/a",NA,NA,NA,NA,"fish","seawater","low",206300,916200,NA,"highland","finfish ltd","atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"ghlas mhor",2000339,"finfish ltd","s","29-Jan-00",NA,NA,NA,"atlantic salmon","grower fish (salmon only)",14.636690647482,2.3,NA,"23000","weather - wth",NA,230000,0,"weather","fs0883","1-Oct-96","nc063162","highland","no","n/a",NA,NA,NA,NA,"fish","seawater","low",206300,916200,NA,"highland","finfish ltd","atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"glenan bay",2000145,"pan fish scotland ltd","s","22-Jan-07","14:00","22-Jan-07","nr918698","atlantic salmon","grower fish (salmon only)",17,3.3,"13-Feb-07","0","no actual escape of fish - nes","13-Feb-07",0,0,"no actual escape of fish","fs0590","17-Aug-89","nr918695","argyll and bute","yes","portavadie fish farm","millhouse tighnabruaich","argyll","pa21 2da","01546 602172","fish","seawater","medium",191800,669500,"19a - fyne","strathclyde","the scottish salmon company","lumpsucker, wrasse, atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"glenan bay",2000140,"pan fish scotland ltd","s","19-Jan-07","18:00",NA,"nr918698","atlantic salmon","grower fish (salmon only)",16,2,"22-Jan-07","not known","no actual escape of fish - nes","31-Jan-07",0,0,"no actual escape of fish","fs0590","17-Aug-89","nr918695","argyll and bute","yes","portavadie fish farm","millhouse tighnabruaich","argyll","pa21 2da","01546 602172","fish","seawater","medium",191800,669500,"19a - fyne","strathclyde","the scottish salmon company","wrasse, atlantic salmon, lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA
"glenan bay",2000137,"pan fish scotland ltd","s","24-Dec-06",NA,"27-Dec-06","nr918698","atlantic salmon","grower fish (salmon only)",15,1.9,"29-Dec-06","nk","hole in net - hol","22-Jan-07",0,0,"predator","fs0590","17-Aug-89","nr918695","argyll and bute","yes","portavadie fish farm","millhouse tighnabruaich","argyll","pa21 2da","01546 602172","fish","seawater","medium",191800,669500,"19a - fyne","strathclyde","the scottish salmon company","atlantic salmon, wrasse, lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA
"glenkens",2000285,"torhouse trout ltd","f","5-Jul-11","00:00","6-Jul-11","nx607907","rainbow trout","fish weighing more than 5 grams",14,3.05018021201413,"6-Jul-11","more than 20","predator - prd","4-Jul-11",20,0,"predator","fs0134","18-Sep-91","nx607907","dumfries and galloway","yes","dalry","castle douglas","kirkcudbrightshire","dg7 3tb","01644 460656","fish","freshwater","low",260700,590700,"not in a management area","dumfries & galloway","kames fish farming ltd","rainbow trout",NA,NA,NA,NA,NA,NA,NA,NA
"glenkens",2000283,"torhouse trout ltd","f","19-Jun-11","00:00","21-Jun-11","nx607907","rainbow trout","fish weighing more than 5 grams",6,3.05018021201413,"21-Jun-11","3,790","predator - prd","29-Jun-11",0,1,"predator","fs0134","18-Sep-91","nx607907","dumfries and galloway","yes","dalry","castle douglas","kirkcudbrightshire","dg7 3tb","01644 460656","fish","freshwater","low",260700,590700,"not in a management area","dumfries & galloway","kames fish farming ltd","rainbow trout",NA,NA,NA,NA,NA,NA,NA,NA
"gob na hoe",2000486,"grieg seafood shetland ltd","s","11-Mar-19","12:00","11-Mar-19",NA,"atlantic salmon","grower fish (salmon only)",14,6.6,"13-Mar-19","0","predator - prd","10-Apr-19",0,0,"predator","fs1175","23-Mar-10","ng189546","highland","yes","dunvegan pier","dunvegan","skye","iv55 8wf","01470 521465","fish","seawater","medium",118900,854600,"12b - dunvegan","highland","grieg seafood shetland ltd","atlantic salmon, lumpsucker, wrasse",NA,NA,NA,NA,NA,NA,NA,NA
"gometra",2000480,"the scottish salmon company","s","6-Nov-18",NA,"6-Nov-18","nm361424","atlantic salmon","grower fish (salmon only)",10,3.05018021201413,"6-Nov-18","unknown","hole in net - hol","12-Dec-18",0,0,"human error","fs1267","12-Nov-12","nm361424","argyll and bute","yes","ulva ferry","isle of mull","argyll","pa73 6ly","01546 602172","fish","seawater","medium",136100,742400,"16a - tuath, na keal","strathclyde","the scottish salmon company","atlantic salmon, wrasse, lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA
"gorsten",2000366,"marine harvest (scotland) ltd","s","15-Sep-00",NA,NA,NA,"atlantic salmon","grower fish (salmon only)",14.636690647482,1,NA,"300","equipment wear and tear - eqw",NA,235,65,"equipment wear and tear","fs0237","21-Oct-85","nn061706","highland","yes","gorsten","ardgour","fort william, inverness-shire","ph33 7ah","07425 621294","fish","seawater","high",206100,770600,"15b - linnhe, firth of lorne, sound of mull and loch sunart","highland","mowi scotland ltd","lumpsucker, wrasse, atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"gousam",2000062,"marine harvest (scotland) ltd","s","11-Jan-05","12:00",NA,"nb111339","atlantic salmon","grower fish (salmon only)",23,1,"13-Jan-05","unknown","weather - wth","9-Feb-05",0,0,"weather","fs0998","17-Jul-00","nb111339","western isles","no","miavaig pier","uig","isle of lewis","hs2 9hw","01546 602172","fish","seawater","medium",111100,933900,"6a - loch roag","western isles","the scottish salmon company","wrasse, atlantic salmon, lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA
"greanamul",2000415,"the scottish salmon company","s","16-Dec-14","10:30","16-Dec-14",NA,"atlantic salmon","grower fish (salmon only)",6,0.8,"16-Dec-14","1","equipment wear and tear - eqw","16-Dec-14",1,0,"equipment wear and tear","fs1282","23-Dec-13","nf884481","western isles","yes","loch a laip","isle of benbecula","western isles","hs7 5qh","01546 602172","fish","seawater","medium",88400,848100,"7a - ronay, benbecula, n south uist","western isles","the scottish salmon company","atlantic salmon, wrasse, lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA
"greinam island",2000059,"fjord seafood scotland farming ltd","s","14-Jan-05","pm",NA,"nb202357","atlantic salmon","grower fish (salmon only)",20,4.5,"14-Jan-05","12,000","weather - wth","8-Feb-05",0,0,"weather","fs0304","1-Feb-94","nb202357","western isles","no","n/a",NA,NA,NA,NA,"fish","seawater","medium",120200,935700,NA,"western isles","the scottish salmon company","atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"grey horse channel",2000450,"marine harvest (scotland) ltd","s","12-Nov-16","11:30","12-Nov-16","nf984754","atlantic salmon","grower fish (salmon only)",13,4.879,"14-Nov-16","50","human error - hum","19-Dec-16",50,0,"human error","fs1122","14-May-09","nf984754","western isles","yes","hoebeg cheesebay","loch maddy","north uist","hs6 5at","01876 500816","fish","seawater","medium",98400,875400,"5c - e north uist","western isles","mowi scotland ltd","wrasse, lumpsucker, atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"groatay",2000028,"marine harvest (scotland) ltd","s","16-Mar-06","12:30",NA,"nf976737","atlantic salmon","grower fish (salmon only)",16,3,"17-Mar-06","unknown","hole in net - hol","19-May-06",223,0,"predator","fs1083","8-Sep-04","nf977739","western isles","yes","hoebeg cheesebay","loch maddy","north uist","hs6 5at","01876 500816","fish","seawater","medium",97700,873900,"5c - e north uist","western isles","mowi scotland ltd","wrasse, lumpsucker, atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"groatay",2000238,"marine harvest (scotland) ltd","s","9-Jul-09","11:00","9-Jul-09","nf979738","atlantic salmon","grower fish (salmon only)",20,5.8,"10-Jul-09","315","hole in net - hol","21-Jul-09",315,0,"hole in net","fs1083","8-Sep-04","nf977739","western isles","yes","hoebeg cheesebay","loch maddy","north uist","hs6 5at","01876 500816","fish","seawater","medium",97700,873900,"5c - e north uist","western isles","mowi scotland ltd","wrasse, lumpsucker, atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"groatay",2000418,"marine harvest (scotland) ltd","s","7-May-15",NA,NA,"nf976737","atlantic salmon","grower fish (salmon only)",15,3.7,"7-May-15","2","hole in net - hol","9-Jun-15",2,0,"hole in net","fs1083","8-Sep-04","nf977739","western isles","yes","hoebeg cheesebay","loch maddy","north uist","hs6 5at","01876 500816","fish","seawater","medium",97700,873900,"5c - e north uist","western isles","mowi scotland ltd","atlantic salmon, lumpsucker, wrasse",NA,NA,NA,NA,NA,NA,NA,NA
"hellisay",2000308,"marine harvest (scotland) ltd","s","3-Feb-13",NA,"21-Mar-13","nf759032","atlantic salmon","grower fish (salmon only)",10,2.4,"11-Feb-13","no loss suspected","equipment wear and tear - eqw","21-Mar-13",0,0,"weather","fs1261","23-Feb-12","nf759032","western isles","yes","sound of hellisay salmon farm","ardveenish north bay","isle of barra western isles","hs9 5ya","01871 890701","fish","seawater","low",75900,803200,"7c - barra","western isles","mowi scotland ltd","atlantic salmon, lumpsucker, wrasse",NA,NA,NA,NA,NA,NA,NA,NA
"hellisay",2000498,"mowi scotland ltd","s","10-Oct-19",NA,"11-Oct-19","nf759032","atlantic salmon","grower fish (salmon only)",15,4.5,"14-Oct-19","unknown","equipment damage - eqd","14-Nov-19",23970,0,"net failure (not including hole)","fs1261","23-Feb-12","nf759032","western isles","yes","sound of hellisay salmon farm","ardveenish north bay","isle of barra western isles","hs9 5ya","01871 890701","fish","seawater","low",75900,803200,"7c - barra","western isles","mowi scotland ltd","wrasse, lumpsucker, atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"hellisay",2000445,"marine harvest (scotland) ltd","s","11-Sep-16","overnig","12-Sep-16","nf759032","atlantic salmon","grower fish (salmon only)",14.636690647482,3.05018021201413,"14-Sep-16","none","net under water - nuw","7-Oct-16",0,0,"weather","fs1261","23-Feb-12","nf759032","western isles","yes","sound of hellisay salmon farm","ardveenish north bay","isle of barra western isles","hs9 5ya","01871 890701","fish","seawater","low",75900,803200,"7c - barra","western isles","mowi scotland ltd","atlantic salmon, wrasse, lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA
"hellisay",2000309,"marine harvest (scotland) ltd","s","1-Mar-13","10:35","1-Mar-13","nf759032","atlantic salmon","grower fish (salmon only)",11,3,"4-Mar-13","~10","hole in net - hol","15-Apr-13",10,0,"hole in net","fs1261","23-Feb-12","nf759032","western isles","yes","sound of hellisay salmon farm","ardveenish north bay","isle of barra western isles","hs9 5ya","01871 890701","fish","seawater","low",75900,803200,"7c - barra","western isles","mowi scotland ltd","wrasse, lumpsucker, atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"hole bay",2000131,"marine harvest (scotland) ltd","s","14-Jan-05","15:30",NA,"nf841409","atlantic salmon","grower fish (salmon only)",9,2,"14-Jan-05","0","no actual escape of fish - nes","23-Feb-05",0,0,"no actual escape of fish","fs0154","1-Mar-77","nf840404","western isles","no","n/a",NA,NA,NA,NA,"fish","seawater","medium",84000,840400,NA,"western isles","mowi scotland ltd","atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"invasion bay",2000462,"marine harvest (scotland) ltd","s","1-Nov-17","09:50","1-Nov-17","nm732608","atlantic salmon","grower fish (salmon only)",13,3.4,"1-Nov-17","6","human error - hum","5-Dec-17",6,0,"human error","fs0212","17-Oct-85","nm732610","highland","yes","laudale estate","ardgour","fort william","ph33 7af","07919 552220","fish","seawater","high",173200,761000,"15b - linnhe, firth of lorne, sound of mull and loch sunart","highland","mowi scotland ltd","atlantic salmon, lumpsucker, wrasse",NA,NA,NA,NA,NA,NA,NA,NA
"inverawe (east) etive 2",2000492,"dawnfresh farming ltd","s","14-Jun-19",NA,"15-Jun-19","nn026331","rainbow trout","fish weighing more than 5 grams",3,1,"14-Jun-19","tbc","hole in net - hol","28-Jun-19",0,0,"hole in net","fs1067","9-Sep-03","nn026331","argyll and bute","no","loch etive trout farm","inverawe","taynuilt","pa35 1hu","01866 822549","fish","seawater","high",202600,733100,"15b - linnhe, firth of lorne, sound of mull and loch sunart","strathclyde","dawnfresh farming ltd","rainbow trout",NA,NA,NA,NA,NA,NA,NA,NA
"inverawe (east) etive 2",2000478,"dawnfresh farming ltd","s","9-Aug-18",NA,"9-Aug-18","nn026331","rainbow trout","fish weighing more than 5 grams",18,1.1,"9-Aug-18","unknown","hole in net - hol","3-Sep-18",175,100,"hole in net","fs1067","9-Sep-03","nn026331","argyll and bute","no","loch etive trout farm","inverawe","taynuilt","pa35 1hu","01866 822549","fish","seawater","high",202600,733100,"15b - linnhe, firth of lorne, sound of mull and loch sunart","strathclyde","dawnfresh farming ltd","rainbow trout",NA,NA,NA,NA,NA,NA,NA,NA
"inverawe (east) etive 2",2000517,"dawnfresh farming ltd","s","12-Jul-20","14:00","12-Jul-20","nn 023330","rainbow trout","fish weighing more than 5 grams",21,2.8,"13-Jul-20","unknown","predator - prd","4-Aug-20",0,0,"predator","fs1067","9-Sep-03","nn026331","argyll and bute","no","loch etive trout farm","inverawe","taynuilt","pa35 1hu","01866 822549","fish","seawater","high",202600,733100,"15b - linnhe, firth of lorne, sound of mull and loch sunart","strathclyde","dawnfresh farming ltd","rainbow trout",NA,NA,NA,NA,NA,NA,NA,NA
"inverawe (east) etive 2",2000410,"dawnfresh farming ltd","s","27-Aug-14","14:00","27-Aug-14","nn023331","rainbow trout","fish weighing more than 5 grams",8,2.12,"28-Aug-14","suspected only","human error - hum","24-Sep-14",0,0,"hole in net","fs1067","9-Sep-03","nn026331","argyll and bute","no","loch etive trout farm","inverawe","taynuilt","pa35 1hu","01866 822549","fish","seawater","high",202600,733100,"15b - linnhe, firth of lorne, sound of mull and loch sunart","strathclyde","dawnfresh farming ltd","rainbow trout",NA,NA,NA,NA,NA,NA,NA,NA
"inverawe (west) etive 1",2000259,"dawnfresh farming ltd","s","13-Feb-10",NA,NA,NA,"rainbow trout","fish weighing more than 5 grams",24,4,"13-Feb-10","unknown","unknown - unk","25-Feb-10",0,12,"no actual escape of fish","fs0040","1-Jan-93","nn017329","argyll and bute","no","n/a",NA,NA,NA,NA,"fish","seawater","low",201700,732900,NA,"strathclyde","dawnfresh farming ltd","rainbow trout",NA,NA,NA,NA,NA,NA,NA,NA
"inverawe (west) etive 1",2000265,"dawnfresh farming ltd","s","13-May-10","12:00","13-May-10","nn028328","rainbow trout","fish weighing more than 5 grams",27,3.6,"13-May-10","30-40","equipment wear and tear - eqw","23-Jun-10",30,0,"equipment wear and tear","fs0040","1-Jan-93","nn017329","argyll and bute","no","n/a",NA,NA,NA,NA,"fish","seawater","low",201700,732900,NA,"strathclyde","dawnfresh farming ltd","rainbow trout",NA,NA,NA,NA,NA,NA,NA,NA
"inverawe (west) etive 1",2000168,"kames fish farming ltd","s","13-Jul-07","09:00","13-Jul-07","nn028328","rainbow trout","fish weighing more than 5 grams",16,1.3,"13-Jul-07","500","predator - prd","13-Jul-07",570,0,"predator","fs0040","1-Jan-93","nn017329","argyll and bute","no","n/a",NA,NA,NA,NA,"fish","seawater","low",201700,732900,NA,"strathclyde","dawnfresh farming ltd","rainbow trout",NA,NA,NA,NA,NA,NA,NA,NA
"inverkerry smolt unit",2000064,"landcatch ltd","f","9-Apr-05","09:00",NA,"ng812739","atlantic salmon","grower fish (salmon only)",12,0.075,"11-Apr-05","3,608","transfer pipe failure - trp","11-Apr-05",0,0,"transfer pipe failure","fs0265","1-Jan-86","ng812739","highland","yes","inverkerry","gairloch","ross-shire","iv21 2al","01445 712090","fish","freshwater","medium",181200,873900,"not in a management area","highland","landcatch natural selection ltd","atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"invicta trout",2000442,"invicta trout ltd","f","23-May-16","00:00","30-Jun-16","nx890800","rainbow trout","fish weighing more than 5 grams",14,1,"4-Jul-16","100-200","weather - wth","12-Jul-16",100,16,"flooding","fs0537","15-Mar-72","nx890800","dumfries and galloway","yes","newtonairds","dumfries","dumfries and galloway","dg2 0jl","01387 720641","fish","freshwater","high",289000,580000,"not in a management area","dumfries & galloway","invicta trout ltd","rainbow trout, brown trout and sea trout, tiger trout",NA,NA,NA,NA,NA,NA,NA,NA
"isle ewe",2000182,"marine harvest (scotland) ltd","s","29-Nov-07","12:00","29-Nov-07",NA,"atlantic salmon","grower fish (salmon only)",24,4.8,"29-Nov-07","27,000 approx","unknown - unk","24-Dec-07",0,15,"unknown","fs1084","12-Oct-04","ng839888","highland","yes","boor","poolewe","ross-shire","iv22 2lj","01445 781245","fish","seawater","medium",183900,888800,"10c - ewe","highland","mowi scotland ltd","lumpsucker, atlantic salmon, wrasse",NA,NA,NA,NA,NA,NA,NA,NA
"isle ewe",2000406,"marine harvest (scotland) ltd","s","5-Feb-14",NA,"5-Feb-14","ng839888","atlantic salmon","grower fish (salmon only)",14.636690647482,3.05018021201413,"4-Apr-14","0","weather - wth","4-Apr-14",0,0,"weather","fs1084","12-Oct-04","ng839888","highland","yes","boor","poolewe","ross-shire","iv22 2lj","01445 781245","fish","seawater","medium",183900,888800,"10c - ewe","highland","mowi scotland ltd","lumpsucker, wrasse, atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"isle ewe",2000411,"marine harvest (scotland) ltd","s","23-Sep-14","12:00","23-Sep-14","ng839888","atlantic salmon","grower fish (salmon only)",10,1.7,"23-Sep-14","2","hole in net - hol","3-Nov-14",2,0,"hole in net","fs1084","12-Oct-04","ng839888","highland","yes","boor","poolewe","ross-shire","iv22 2lj","01445 781245","fish","seawater","medium",183900,888800,"10c - ewe","highland","mowi scotland ltd","wrasse, lumpsucker, atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"isle ewe",2000123,"marine harvest (scotland) ltd","s","13-Sep-06","10:00","13-Sep-06","ng839888","atlantic salmon","grower fish (salmon only)",9,1,"13-Sep-06","unknown","no actual escape of fish - nes","26-Oct-06",0,0,"no actual escape of fish","fs1084","12-Oct-04","ng839888","highland","yes","boor","poolewe","ross-shire","iv22 2lj","01445 781245","fish","seawater","medium",183900,888800,"10c - ewe","highland","mowi scotland ltd","wrasse, atlantic salmon, lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA
"jubilee loch shin",2000322,"migdale smolts ltd","f","1-Apr-01",NA,NA,NA,"atlantic salmon","salmon fresh water stages",14.636690647482,0.1,NA,"20000","human error - hum",NA,20000,0,"human error","fs0890","1-Nov-96","nc394242","highland","yes","loch shin","overscaig jubilee plantation","by lairg, sutherland","iv27 4ny","01863 766170","fish","freshwater","medium",239400,924200,"not in a management area","highland","migdale smolts ltd","atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"jubilee loch shin",2000525,"migdale smolts ltd","f","22-Sep-20","11:00","22-Sep-20","nc 399 236","atlantic salmon","fish weighing more than 5 grams",14.636690647482,30,"30-Oct-20","0","hole in net - hol","30-Oct-20",0,1,"hole in net","fs0890","1-Nov-96","nc394242","highland","yes","loch shin","overscaig jubilee plantation","by lairg, sutherland","iv27 4ny","01863 766170","fish","freshwater","medium",239400,924200,"not in a management area","highland","migdale smolts ltd","atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"kames bay (east)",2000310,"kames fish farming ltd","s","20-Mar-13","16:00","20-Mar-13","nm824117","halibut","fish weighing more than 5 grams",3,1.6,"21-Mar-13","7136","predator - prd","1-Apr-13",6957,2,"predator","fs0462","1-Jan-83","nm824117","argyll and bute","yes","kilmelford","oban","argyll","pa34 4xa","01852 200286","fish","seawater","medium",182400,711700,"16d - seil sound to loch craignish","strathclyde","kames fish farming ltd","rainbow trout",NA,NA,NA,NA,NA,NA,NA,NA
"kames bay (east)",2000050,"kames marine fish farming","s","13-Sep-06","23:00","14-Sep-06","nm824117","halibut","fish weighing more than 5 grams",48,5,"18-Sep-06","15700","vandalism - van","20-Sep-06",0,500,"vandalism","fs0462","1-Jan-83","nm824117","argyll and bute","yes","kilmelford","oban","argyll","pa34 4xa","01852 200286","fish","seawater","medium",182400,711700,"16d - seil sound to loch craignish","strathclyde","kames fish farming ltd","rainbow trout",NA,NA,NA,NA,NA,NA,NA,NA
"kerrera b",2000165,"scottish sea farms ltd","s","9-Apr-07","8.45","9-Apr-07","nm835307","atlantic salmon","grower fish (salmon only)",13,2.5,"4-Jun-07","0","no actual escape of fish - nes","15-Jul-07",0,0,"no actual escape of fish","fs0663","4-Sep-91","nm835307","argyll and bute","yes","south shian","connel","oban, argyll","pa37 1sb","07799 608411","fish","seawater","medium",183500,730700,"15b - linnhe, firth of lorne, sound of mull and loch sunart","strathclyde","scottish sea farms ltd","atlantic salmon, wrasse, lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA
"kingairloch",2000233,"marine harvest (scotland) ltd","s","1-Jul-09","11:00","1-Jul-09","nm852524","atlantic salmon","grower fish (salmon only)",15,3.5,"1-Jul-09","1","human error - hum","3-Jul-09",1,0,"human error","fs0241","31-May-84","nm852525","highland","yes","nr. ardgour","by fort william","n/a","ph33 7ae","07824 370902","fish","seawater","high",185200,752500,"15b - linnhe, firth of lorne, sound of mull and loch sunart","highland","mowi scotland ltd","wrasse, lumpsucker, atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"kingairloch",2000273,"marine harvest (scotland) ltd","s","21-Nov-10","06:00","21-Nov-10","nm852525","atlantic salmon","grower fish (salmon only)",10,1.5,"22-Nov-10","30","transfer pipe failure - trp","20-Dec-10",36,0,"transfer pipe failure","fs0241","31-May-84","nm852525","highland","yes","nr. ardgour","by fort william","n/a","ph33 7ae","07824 370902","fish","seawater","high",185200,752500,"15b - linnhe, firth of lorne, sound of mull and loch sunart","highland","mowi scotland ltd","atlantic salmon, wrasse, lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA
"kinlochmoidart hatchery",2000524,"the scottish salmon company","f","22-Oct-20","09:00",NA,NA,"atlantic salmon","fish weighing more than 5 grams",9,0.075,"29-Oct-20","20","vandalism - van",NA,0,0,NA,"fs0146","1-Jan-83","nm724718","highland","yes","kinlochmoidart hatchery","kinlochmoidart, lochailort","inverness-shire","ph38 4nd","07909 527265","fish","freshwater","medium",172400,771800,"not in a management area","highland","the scottish salmon company","atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"kinlochmoidart hatchery",2000457,"sunbeam aquaculture ltd","f","29-Aug-17","overnig","30-Aug-17","nm72388718","atlantic salmon","salmon fresh water stages",14.636690647482,50,"30-Aug-17","unknown","screen failure - scr","11-Sep-17",163,0,"screen failure","fs0146","1-Jan-83","nm724718","highland","yes","kinlochmoidart hatchery","kinlochmoidart, lochailort","inverness-shire","ph38 4nd","07909 527265","fish","freshwater","medium",172400,771800,"not in a management area","highland","the scottish salmon company","atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"kirk noust",2000045,"mainland salmon ltd","s","29-May-06","unknown",NA,"hy449291","atlantic salmon","grower fish (salmon only)",7,0.3,"29-May-06","34,500","unknown - unk","29-May-06",0,0,"unknown","fs0645","8-Jan-90","hy449291","orkney","yes","rousay","orkney","n/a","kw17 2pr","01856 876101","fish","seawater","medium",344900,1029100,"8b - central orkney","orkney","cooke aquaculture scotland ltd","atlantic salmon, lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA
"kirk noust",2000323,"mainland salmon","s","1-May-01",NA,NA,NA,"atlantic salmon","grower fish (salmon only)",14.636690647482,2,NA,"5000-10000","predator - prd",NA,5000,0,"predator","fs0645","8-Jan-90","hy449291","orkney","yes","rousay","orkney","n/a","kw17 2pr","01856 876101","fish","seawater","medium",344900,1029100,"8b - central orkney","orkney","cooke aquaculture scotland ltd","atlantic salmon, lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA
"kishorn a (south)",2000333,"hydro seafoods gsp","s","12-Jan-00",NA,NA,NA,"atlantic salmon","grower fish (salmon only)",14.636690647482,4,NA,"100","human error - hum",NA,100,0,"human error","fs0709","1-Jan-87","ng830385","highland","yes","loch kishorn","strathcarron","ross-shire","iv54 8xb","01520 733237","fish","seawater","medium",183000,838500,"14a - carron, kishorn, alsh, duich","highland","scottish sea farms ltd","wrasse, lumpsucker, atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"kishorn b (north)",2000063,"scottish sea farms ltd","s","11-Jan-05",NA,"13-Jan-05","ng791380","atlantic salmon","grower fish (salmon only)",4,0.44,"13-Jan-05","35-40,000","weather - wth","10-Feb-05",0,600,"weather","fs0804","20-Apr-92","ng791380","highland","yes","loch kishorn","strathcarron","ross-shire","iv54 8xb","01520 733237","fish","seawater","medium",179100,838000,"14a - carron, kishorn, alsh, duich","highland","scottish sea farms ltd","lumpsucker, wrasse, atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
